participant_ID,response,text_stimuli,eng_v,idn_v,n,response_ID,groups
8882312,Get 2.jpg,Acquire = Mendapatkan,Acquire,Mendapatkan,1,D2,D
8882312,Get 2.jpg,Procure = Mendapatkan,Procure,Mendapatkan,1,D2,D
8882312,Get 3.jpg,Get = Mendapatkan,Get,Mendapatkan,1,D3,D
8882312,Get 3.jpg,Obtain = Mendapatkan,Obtain,Mendapatkan,1,D3,D
8882312,Get 3.jpg,Receive = Mendapatkan,Receive,Mendapatkan,1,D3,D
8882312,Give 2.jpg,Present = Memberi,Present,Memberi,1,E2,E
8882312,Give 2.jpg,Provide = Memberi,Provide,Memberi,1,E2,E
8882312,Give 3.jpg,Bestow = Memberi,Bestow,Memberi,1,E3,E
8882312,Give 3.jpg,Donate = Memberi,Donate,Memberi,1,E3,E
8882312,Give 3.jpg,Give = Memberi,Give,Memberi,1,E3,E
8882312,Give 3.jpg,Grant = Memberi,Grant,Memberi,1,E3,E
8882312,Give 3.jpg,Share = Memberi,Share,Memberi,1,E3,E
8882312,Make 1.jpg,Create = Membuat,Create,Membuat,1,B1,B
8882312,Make 1.jpg,Design = Membuat,Design,Membuat,1,B1,B
8882312,Make 1.jpg,Manufacture = Membuat,Manufacture,Membuat,1,B1,B
8882312,Make 2.jpg,Construct = Membuat,Construct,Membuat,1,B2,B
8882312,Make 2.jpg,Establish = Membuat,Establish,Membuat,1,B2,B
8882312,Make 2.jpg,Produce = Membuat,Produce,Membuat,1,B2,B
8882312,Make 4.jpg,Make = Membuat,Make,Membuat,1,B4,B
8882312,Take 1.jpeg,Gather = Mengambil,Gather,Mengambil,1,A1,A
8882312,Take 3.jpg,Bring = Mengambil,Bring,Mengambil,1,A3,A
8882312,Take 3.jpg,Seize = Mengambil,Seize,Mengambil,1,A3,A
8882312,Take 3.jpg,Take = Mengambil,Take,Mengambil,1,A3,A
8882312,Take 4.jpg,Collect = Mengambil,Collect,Mengambil,1,A4,A
8882312,Take 4.jpg,Fetch = Mengambil,Fetch,Mengambil,1,A4,A
8882312,Take 4.jpg,Hoard = Mengambil,Hoard,Mengambil,1,A4,A
8882325,Find 2.jpg,Find = Mencari,Find,Mencari,1,C2,C
8882325,Find 2.jpg,Locate = Mencari,Locate,Mencari,1,C2,C
8882325,Find 3.jpg,Rummage = Mencari,Rummage,Mencari,1,C3,C
8882325,Find 3.jpg,Search = Mencari,Search,Mencari,1,C3,C
8882325,Find 4.jpg,Discover = Mencari,Discover,Mencari,1,C4,C
